What is your Gender?,What is your grade?,What is your Age,Which one do you prefer to watch?,Which one do you prefer to watch?/Movie,Which one do you prefer to watch?/TV Program,Which one do you prefer to watch?/Anime,How often do you watch a Movie ?,What genres of movies do you like to watch?,What genres of movies do you like to watch?/Action,What genres of movies do you like to watch?/Comedy,What genres of movies do you like to watch?/Drama,What genres of movies do you like to watch?/Horror,What genres of movies do you like to watch?/Romance,What genres of movies do you like to watch?/Sci-Fi /Fantasy,What genres of movies do you like to watch?/Cartoon,What genres of movies do you like to watch?/Others,What genres of movies do you like to watch?/Option 9,What genre of anime do you like to watch?,What genre of anime do you like to watch?/Action   ,What genre of anime do you like to watch?/Adventure,What genre of anime do you like to watch?/Comedy,What genre of anime do you like to watch?/Drama,What genre of anime do you like to watch?/Sports,What genre of anime do you like to watch?/Slice of Life,What genre of anime do you like to watch?/ Fantasy,What genre of anime do you like to watch?/Horror,What genre of anime do you like to watch?/Mystery,What genre of anime do you like to watch?/Thriller,What genre of anime do you like to watch?/Psychological,What genre of anime do you like to watch?/Romance,What genre of anime do you like to watch?/Science Fiction ,What genre of anime do you like to watch?/Yaoi ,What genre of anime do you like to watch?/Yuri,What genre of anime do you like to watch?/Others,Which anime demographic category do you watch?,Which anime demographic category do you watch?/Shōnen  ,Which anime demographic category do you watch?/Shōjo,Which anime demographic category do you watch?/ Josei,Which anime demographic category do you watch?/Seinen  ,Which anime demographic category do you watch?/Kodomo-muke,What genres of TV shows do you like?,What genres of TV shows do you like?/Drama,What genres of TV shows do you like?/Comedy,What genres of TV shows do you like?/Reality TV,What genres of TV shows do you like?/Crime,What genres of TV shows do you like?/Action / Adventure,What genres of TV shows do you like?/Science Fiction / Fantasy,What genres of TV shows do you like?/Sports,What genres of TV shows do you like?/News Documentary,What genres of TV shows do you like?/Talk Shows,What genres of TV shows do you like?/Animation,What genres of TV shows do you like?/Others,What genres of TV shows do you like?/Korean Drama,Which Country's TV show do you watch?,Which Country's TV show do you watch?/Nepali,Which Country's TV show do you watch?/American,Which Country's TV show do you watch?/British,Which Country's TV show do you watch?/Chinese,Which Country's TV show do you watch?/Korean,Which Country's TV show do you watch?/Thai ,Which Country's TV show do you watch?/Japanese,Which Country's TV show do you watch?/Indian,Which Country's TV show do you watch?/Others,What type of movie do you like to watch?,What type of movie do you like to watch?/Nepali Movies,What type of movie do you like to watch?/International Movies
Female,12,17,Anime,0,0,1,once a week,Action Drama Romance Sci-Fi /Fantasy Cartoon,1,0,1,0,1,1,1,0,0,Action    Adventure Comedy Drama  Fantasy Mystery Thriller Romance Yaoi ,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,Shōnen  ,1,0,0,0,0,Drama Action / Adventure Science Fiction / Fantasy Animation Korean Drama,1,0,0,0,1,1,0,0,0,1,0,1,American British Chinese Korean Thai  Japanese Indian,0,1,1,1,1,1,1,1,0,International Movies,0,1
Female,10,15,Anime,0,0,1,once a month,Action Comedy Drama Romance,1,1,1,0,1,0,0,0,0,Action    Adventure Comedy Sports Slice of Life Psychological Romance,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,Shōnen   Shōjo  Josei,1,1,1,0,0,Drama Comedy Reality TV Sports Korean Drama,1,1,1,0,0,0,1,0,0,0,0,1,American Chinese Korean Japanese,0,1,0,1,1,0,1,0,0,Nepali Movies International Movies,1,1
Male,12,16,Anime,0,0,1,,,,,,,,,,,,Action    Adventure Sports  Fantasy Others,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Shōnen   Shōjo  Josei Seinen   Kodomo-muke,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,International Movies,0,1
Female,9,14,TV Program,0,1,0,,Drama Romance Sci-Fi /Fantasy,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Drama Korean Drama,1,0,0,0,0,0,0,0,0,0,0,1,Korean Japanese,0,0,0,0,1,0,1,0,0,International Movies,0,1
Male,11,16,Movie,1,0,0,once a year,Action Comedy Romance,1,1,0,0,1,0,0,0,0,Sports,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Sports,0,0,0,0,0,0,1,0,0,0,0,0,American,0,1,0,0,0,0,0,0,0,International Movies,0,1
Male,9,14,Movie,1,0,0,once a month,Others,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Comedy,0,1,0,0,0,0,0,0,0,0,0,0,Nepali,1,0,0,0,0,0,0,0,0,Nepali Movies,1,0
Female,12,17,TV Program,0,1,0,once a month,Comedy Drama Romance Sci-Fi /Fantasy,0,1,1,0,1,1,0,0,0,Romance,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Shōjo,0,1,0,0,0,Drama Reality TV Crime Science Fiction / Fantasy Sports Korean Drama,1,0,1,1,0,1,1,0,0,0,0,1,Nepali American Chinese Korean Thai  Japanese Indian,1,1,0,1,1,1,1,1,0,Nepali Movies International Movies,1,1
Male,11,15,Anime,0,0,1,once a week,Action Sci-Fi /Fantasy,1,0,0,0,0,1,0,0,0,Action    Mystery Psychological Science Fiction ,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Shōnen   Shōjo  Josei Seinen   Kodomo-muke,1,1,1,1,1,Crime Action / Adventure Sports Talk Shows,0,0,0,1,1,0,1,0,1,0,0,0,Nepali American,1,1,0,0,0,0,0,0,0,Nepali Movies International Movies,1,1
Male,12,12,Movie Anime,1,0,1,once a month,Action Comedy Drama Horror Romance,1,1,1,1,1,0,0,0,0,Action    Adventure Comedy Drama Sports Horror Mystery Thriller Psychological Romance,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,Shōnen   Seinen  ,1,0,0,1,0,Drama Comedy Crime Action / Adventure Sports Animation Korean Drama,1,1,0,1,1,0,1,0,0,1,0,1,American British Korean Indian Others,0,1,1,0,1,0,0,1,1,International Movies,0,1
Female,12,17,Movie TV Program,1,1,0,once a month,Action Comedy Drama Horror Romance Cartoon,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Drama Comedy Reality TV Action / Adventure Korean Drama,1,1,1,0,1,0,0,0,0,0,0,1,Nepali Chinese Korean Indian,1,0,0,1,1,0,0,1,0,Nepali Movies International Movies,1,1
Male,12,17,Movie,1,0,0,once a week,Action Horror,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Crime,0,0,0,1,0,0,0,0,0,0,0,0,Nepali American Indian,1,1,0,0,0,0,0,1,0,International Movies,0,1
Female,12,17,Movie TV Program Anime,1,1,1,once a week,Action Comedy Horror Sci-Fi /Fantasy Cartoon,1,1,0,1,0,1,1,0,0,Action    Adventure Comedy Slice of Life  Fantasy Science Fiction ,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Shōnen   Seinen  ,1,0,0,1,0,Drama Comedy Action / Adventure Science Fiction / Fantasy Animation Korean Drama,1,1,0,0,1,1,0,0,0,1,0,1,American Chinese Korean Thai  Japanese,0,1,0,1,1,1,1,0,0,International Movies,0,1
Male,12,17,Movie TV Program,1,1,0,everyday,Comedy,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Comedy Reality TV Action / Adventure,0,1,1,0,1,0,0,0,0,0,0,0,American British,0,1,1,0,0,0,0,0,0,International Movies,0,1
